seed_index,norad_id,object_name,orbit_class,service_class,station_index,station_id,station_name,support_possible,compatible,active,station_orbit_mask,station_service_mask,period_min,perigee_km,apogee_km
6,25994,TERRA,LEO,EARTH_OBS|SCIENCE,12,1013,Tromso Polar Profile,1,1,1,LEO,EARTH_OBS|SCIENCE,98.492211,683.959615,689.208702
6,25994,TERRA,LEO,EARTH_OBS|SCIENCE,13,1014,Equatorial Relay Profile,1,0,0,GEO,RELAY,98.492211,683.959615,689.208702
6,25994,TERRA,LEO,EARTH_OBS|SCIENCE,14,1015,Alaska Mixed Profile,1,1,1,LEO|MEO,NAV|EARTH_OBS|SCIENCE|CREWED,98.492211,683.959615,689.208702
6,25994,TERRA,LEO,EARTH_OBS|SCIENCE,15,1016,Kwajalein Mixed Profile,1,1,1,LEO|MEO|GEO,NAV|RELAY|EARTH_OBS|SCIENCE|CREWED,98.492211,683.959615,689.208702
7,26388,TDRS 8,GEO,RELAY,0,1001,NL Navigation Profile,0,0,0,MEO,NAV,1436.175931,35774.751775,35801.561103
7,26388,TDRS 8,GEO,RELAY,1,1002,NL Science Profile,1,0,0,LEO|HEO,EARTH_OBS|SCIENCE|CREWED,1436.175931,35774.751775,35801.561103
7,26388,TDRS 8,GEO,RELAY,2,1003,Svalbard Polar Profile,0,0,0,LEO,EARTH_OBS|SCIENCE,1436.175931,35774.751775,35801.561103
7,26388,TDRS 8,GEO,RELAY,3,1004,Canberra Deep Profile,1,1,1,MEO|GEO|HEO,NAV|RELAY|SCIENCE,1436.175931,35774.751775,35801.561103
7,26388,TDRS 8,GEO,RELAY,4,1005,Goldstone Deep Profile,1,1,1,MEO|GEO|HEO,NAV|RELAY|SCIENCE,1436.175931,35774.751775,35801.561103
7,26388,TDRS 8,GEO,RELAY,5,1006,Madrid Deep Profile,1,1,1,MEO|GEO|HEO,NAV|RELAY|SCIENCE,1436.175931,35774.751775,35801.561103
7,26388,TDRS 8,GEO,RELAY,6,1007,Hawaii Navigation Profile,1,0,0,MEO,NAV,1436.175931,35774.751775,35801.561103
