timestamp, utilization_gpu_pct, utilization_memory_pct, memory_used_mib, power_draw_w, temperature_gpu_c, clocks_sm_mhz, clocks_mem_mhz
2026/08/17 08:27:18.089, 100, 0, 612, 71.47, 66, 2767, 9001
2026/08/17 08:27:18.385, 100, 0, 612, 71.47, 66, 2767, 9001
2026/08/17 08:27:18.680, 100, 0, 612, 71.19, 66, 2767, 9001
2026/08/17 08:27:18.977, 100, 0, 612, 71.19, 66, 2767, 9001
2026/08/17 08:27:19.286, 100, 0, 612, 71.06, 66, 2767, 9001
2026/08/17 08:27:19.579, 100, 0, 612, 70.90, 66, 2767, 9001
2026/08/17 08:27:19.876, 100, 0, 612, 70.90, 66, 2767, 9001
2026/08/17 08:27:20.186, 100, 0, 612, 72.34, 67, 2767, 9001
2026/08/17 08:27:20.485, 100, 0, 612, 72.34, 67, 2767, 9001
2026/08/17 08:27:20.781, 100, 0, 612, 69.53, 66, 2767, 11001
2026/08/17 08:27:21.076, 100, 0, 612, 67.63, 66, 2767, 14001
2026/08/17 08:27:21.373, 100, 0, 612, 67.63, 66, 2767, 14001
2026/08/17 08:27:21.669, 100, 0, 612, 70.78, 67, 2767, 14001
2026/08/17 08:27:21.982, 100, 0, 612, 70.78, 67, 2767, 14001
2026/08/17 08:27:22.279, 100, 0, 612, 74.68, 67, 2767, 11001
2026/08/17 08:27:22.589, 100, 0, 612, 74.65, 67, 2767, 11001
2026/08/17 08:27:22.886, 100, 0, 612, 74.65, 67, 2767, 11001
2026/08/17 08:27:23.183, 100, 0, 612, 73.00, 67, 2767, 11001
2026/08/17 08:27:23.482, 100, 0, 612, 73.00, 67, 2767, 11001
2026/08/17 08:27:23.779, 100, 0, 612, 73.05, 67, 2767, 9001
2026/08/17 08:27:24.094, 100, 0, 612, 72.90, 67, 2767, 11001
2026/08/17 08:27:24.389, 100, 0, 612, 72.90, 67, 2767, 11001
2026/08/17 08:27:24.685, 100, 0, 612, 67.27, 67, 2767, 14001
2026/08/17 08:27:24.981, 100, 0, 612, 67.27, 67, 2767, 14001
2026/08/17 08:27:25.281, 100, 0, 612, 67.48, 67, 2767, 14001
2026/08/17 08:27:25.578, 100, 0, 612, 72.23, 67, 2767, 14001
2026/08/17 08:27:25.875, 100, 0, 612, 72.23, 67, 2767, 14001
2026/08/17 08:27:26.167, 100, 0, 612, 73.37, 67, 2767, 14001
2026/08/17 08:27:26.481, 100, 0, 612, 73.37, 67, 2767, 14001
2026/08/17 08:27:26.779, 100, 0, 612, 73.78, 67, 2767, 14001
2026/08/17 08:27:27.075, 100, 0, 612, 74.16, 67, 2767, 14001
2026/08/17 08:27:27.373, 100, 0, 612, 74.16, 67, 2767, 14001
2026/08/17 08:27:27.668, 100, 0, 612, 74.77, 68, 2767, 11001
2026/08/17 08:27:27.964, 100, 0, 612, 74.77, 68, 2767, 11001
2026/08/17 08:27:28.262, 100, 0, 612, 74.61, 67, 2767, 9001
2026/08/17 08:27:28.558, 100, 0, 612, 72.52, 67, 2767, 9001
2026/08/17 08:27:28.854, 100, 0, 612, 72.52, 67, 2767, 9001
2026/08/17 08:27:29.151, 100, 0, 612, 71.62, 67, 2767, 9001
2026/08/17 08:27:29.463, 100, 0, 612, 71.62, 67, 2767, 9001
2026/08/17 08:27:29.779, 100, 0, 612, 71.61, 67, 2767, 9001
2026/08/17 08:27:30.089, 100, 0, 612, 71.42, 67, 2767, 9001
2026/08/17 08:27:30.386, 100, 0, 612, 71.42, 67, 2767, 9001
2026/08/17 08:27:30.683, 100, 0, 612, 72.05, 68, 2767, 9001
2026/08/17 08:27:30.994, 100, 0, 612, 72.05, 68, 2767, 9001
2026/08/17 08:27:31.292, 100, 0, 612, 72.47, 67, 2767, 11001
2026/08/17 08:27:31.588, 100, 0, 612, 67.77, 67, 2767, 14001
2026/08/17 08:27:31.886, 100, 0, 612, 67.77, 67, 2767, 14001
2026/08/17 08:27:32.185, 100, 0, 612, 68.33, 68, 2767, 14001
2026/08/17 08:27:32.484, 100, 0, 612, 68.33, 68, 2767, 14001
2026/08/17 08:27:32.782, 100, 0, 612, 73.76, 68, 2767, 11001
2026/08/17 08:27:33.080, 100, 0, 612, 75.32, 68, 2767, 11001
2026/08/17 08:27:33.376, 100, 0, 612, 75.32, 68, 2767, 11001
2026/08/17 08:27:33.672, 100, 0, 612, 74.03, 68, 2767, 11001
2026/08/17 08:27:33.968, 100, 0, 612, 74.03, 68, 2767, 11001
2026/08/17 08:27:34.264, 100, 0, 612, 73.26, 68, 2767, 11001
2026/08/17 08:27:34.562, 100, 0, 612, 74.09, 68, 2767, 9001
