dataset,sample_file,norad_id,seconds_from_reference,minutes_from_element_epoch,klb_error,python_sgp4_error,position_delta_km,velocity_delta_km_s
gps_operational,gps_3600.csv,67588,3600.0,1793.255726397,0,0,9.128297532998186e-09,1.6500212130232208e-10
gps_operational,gps_3600.csv,68791,3600.0,16922.881003197,0,0,8.380031274527878e-09,4.933653692115764e-10
gps_operational,gps_43200.csv,26407,43200.0,751.789627198,0,0,8.744133208054928e-08,4.746760828561214e-10
gps_operational,gps_43200.csv,27663,43200.0,1087.790414397,0,0,1.7829285226113108e-08,5.148043019809608e-10
gps_operational,gps_43200.csv,28190,43200.0,720.0,0,0,7.173705401900161e-10,5.019936066454298e-10
gps_operational,gps_43200.csv,28474,43200.0,817.816463999,0,0,1.0097709561410776e-08,4.2865356154635253e-10
gps_operational,gps_43200.csv,28874,43200.0,821.8887984,0,0,5.450239103293537e-08,5.608237435909633e-10
gps_operational,gps_43200.csv,29486,43200.0,1284.714143999,0,0,9.637513583551744e-08,6.30952661061775e-10
gps_operational,gps_43200.csv,29601,43200.0,1412.877081597,0,0,3.425284214383391e-08,5.767817388244679e-10
gps_operational,gps_43200.csv,32260,43200.0,1688.923180799,0,0,7.345087756889371e-08,6.445767892705403e-10
gps_operational,gps_43200.csv,32384,43200.0,1598.889614399,0,0,6.355106379736255e-08,6.279835506405549e-10
gps_operational,gps_43200.csv,32711,43200.0,1103.369572798,0,0,9.654292611750332e-08,4.899294624501549e-10
gps_operational,gps_43200.csv,35752,43200.0,1475.125703998,0,0,9.434716375599962e-08,4.5131602666250474e-10
gps_operational,gps_43200.csv,36585,43200.0,1714.045766397,0,0,7.311798326717873e-08,4.422460131120238e-10
gps_operational,gps_43200.csv,38833,43200.0,4435.384319997,0,0,3.9343119274566867e-08,5.443341063152712e-10
gps_operational,gps_43200.csv,39166,43200.0,1752.9600528,0,0,4.10320903133908e-08,7.378144992467122e-10
gps_operational,gps_43200.csv,39533,43200.0,1032.303239997,0,0,5.3342709702429626e-08,4.911168861464394e-10
gps_operational,gps_43200.csv,39741,43200.0,1350.9785664,0,0,4.912205944571135e-08,4.163152557081409e-10
gps_operational,gps_43200.csv,40105,43200.0,1220.0310576,0,0,4.19029333860279e-08,3.7257364144244067e-10
gps_operational,gps_43200.csv,40294,43200.0,1407.826857599,0,0,8.730568978075554e-08,4.58459079480637e-10
gps_operational,gps_43200.csv,40534,43200.0,1208.998670399,0,0,4.3073960051835286e-08,6.144317267865896e-10
gps_operational,gps_43200.csv,40730,43200.0,976.937457597,0,0,5.908079153611215e-08,2.6005029067620024e-10
gps_operational,gps_43200.csv,41019,43200.0,1618.288631999,0,0,1.1328251136381159e-07,4.588812666793955e-10
gps_operational,gps_43200.csv,41328,43200.0,2206.677628799,0,0,6.427412544756968e-08,4.6381787917686644e-10
gps_operational,gps_43200.csv,43873,43200.0,896.6115936,0,0,2.5832980243876542e-08,6.290169104123156e-10
gps_operational,gps_43200.csv,44506,43200.0,1343.211552,0,0,1.095764038798316e-08,4.955055213562687e-10
gps_operational,gps_43200.csv,45854,43200.0,1343.211552,0,0,1.0841627958853686e-08,6.256222175595032e-10
gps_operational,gps_43200.csv,46826,43200.0,1333.211543997,0,0,2.9675446089362174e-08,3.9790430471200175e-10
gps_operational,gps_43200.csv,48859,43200.0,2001.558427199,0,0,6.359974162424008e-08,4.3825392747230453e-10
gps_operational,gps_43200.csv,55268,43200.0,1333.211543997,0,0,3.002224641660631e-08,6.410082623212901e-10
gps_operational,gps_43200.csv,62339,43200.0,3045.098879997,0,0,1.4857310816636104e-08,5.022979656637374e-10
gps_operational,gps_43200.csv,64202,43200.0,1882.929052798,0,0,1.0903088640757591e-08,4.94615260026516e-10
gps_operational,gps_43200.csv,67588,43200.0,2453.255726397,0,0,8.839358185169891e-09,3.71529708935189e-10
gps_operational,gps_43200.csv,68791,43200.0,17582.881003197,0,0,8.13730460261185e-09,2.6691219274777886e-10
gps_operational,gps_60.csv,26407,60.0,32.789627198,0,0,8.775028814637858e-08,4.0250195848376936e-10
gps_operational,gps_60.csv,27663,60.0,368.790414397,0,0,1.7654460830449225e-08,6.442918586071406e-10
gps_operational,gps_60.csv,28190,60.0,1.0,0,0,6.912333253311741e-10,7.144763464713171e-10
gps_operational,gps_60.csv,28474,60.0,98.816463999,0,0,1.1315467321160163e-08,5.40656284397438e-10
gps_operational,gps_60.csv,28874,60.0,102.8887984,0,0,5.413784638973033e-08,4.727911248616465e-10
gps_operational,gps_60.csv,29486,60.0,565.714143999,0,0,9.630888201514013e-08,2.7237065320591575e-10
gps_operational,gps_60.csv,29601,60.0,693.877081597,0,0,3.391991552430577e-08,2.4649516767982783e-10
gps_operational,gps_60.csv,32260,60.0,969.923180799,0,0,7.303801599782813e-08,4.404600313836083e-10
gps_operational,gps_60.csv,32384,60.0,879.889614399,0,0,6.362668412398149e-08,4.636849217850447e-10
gps_operational,gps_60.csv,32711,60.0,384.369572798,0,0,9.710383907330168e-08,4.494251951618918e-10
gps_operational,gps_60.csv,35752,60.0,756.125703998,0,0,9.470442896545967e-08,5.387658945978152e-10
gps_operational,gps_60.csv,36585,60.0,995.045766397,0,0,7.375999810316582e-08,6.925861776935065e-10
gps_operational,gps_60.csv,38833,60.0,3716.384319997,0,0,3.950345075198703e-08,6.330871899679615e-10
gps_operational,gps_60.csv,39166,60.0,1033.9600528,0,0,4.1124803518850355e-08,2.9346307635041974e-10
gps_operational,gps_60.csv,39533,60.0,313.303239997,0,0,5.3389429179597677e-08,3.9656298547894997e-10
gps_operational,gps_60.csv,39741,60.0,631.9785664,0,0,4.875619204050575e-08,3.426553810605503e-10
gps_operational,gps_60.csv,40105,60.0,501.0310576,0,0,4.223874867054547e-08,6.548510150793525e-10
gps_operational,gps_60.csv,40294,60.0,688.826857599,0,0,8.792632702813039e-08,4.67122430106468e-10
gps_operational,gps_60.csv,40534,60.0,489.998670399,0,0,4.378194064857863e-08,5.151293904069219e-10
gps_operational,gps_60.csv,40730,60.0,257.937457597,0,0,5.935574070535029e-08,5.829459617133243e-10
gps_operational,gps_60.csv,41019,60.0,899.288631999,0,0,1.1387032187768213e-07,7.005940870795688e-10
gps_operational,gps_60.csv,41328,60.0,1487.677628799,0,0,6.491873715181258e-08,4.988076745583267e-10
gps_operational,gps_60.csv,43873,60.0,177.6115936,0,0,2.644997495444556e-08,5.050973241349591e-10
gps_operational,gps_60.csv,44506,60.0,624.211552,0,0,1.0719440368818341e-08,7.044633805730287e-10
gps_operational,gps_60.csv,45854,60.0,624.211552,0,0,1.069278563185401e-08,4.620026000140991e-10
gps_operational,gps_60.csv,46826,60.0,614.211543997,0,0,2.977221814071135e-08,7.607123893583873e-10
gps_operational,gps_60.csv,48859,60.0,1282.558427199,0,0,6.364645784754551e-08,5.774202714403668e-10
gps_operational,gps_60.csv,55268,60.0,614.211543997,0,0,2.990112488923063e-08,3.8823734534791057e-10
gps_operational,gps_60.csv,62339,60.0,2326.098879997,0,0,1.4920303825793627e-08,3.2885386110848906e-10
